,File,Frames,Replacement,Page_Fault_rate
0,swim.trace,58,rand,0.0395
0,swim.trace,58,clock,0.0248
0,swim.trace,58,lru,0.0237
0,swim.trace,56,rand,0.041
0,swim.trace,56,clock,0.0259
0,swim.trace,56,lru,0.0246
0,swim.trace,54,rand,0.043
0,swim.trace,54,clock,0.027
0,swim.trace,54,lru,0.0256
0,swim.trace,52,rand,0.0447
0,swim.trace,52,clock,0.0281
0,swim.trace,52,lru,0.0267
0,swim.trace,50,rand,0.0472
0,swim.trace,50,clock,0.0295
0,swim.trace,50,lru,0.028
0,swim.trace,48,rand,0.0494
0,swim.trace,48,clock,0.031
0,swim.trace,48,lru,0.0294
0,swim.trace,46,rand,0.0521
0,swim.trace,46,clock,0.0326
0,swim.trace,46,lru,0.0308
0,swim.trace,44,rand,0.0547
0,swim.trace,44,clock,0.0345
0,swim.trace,44,lru,0.0325
0,swim.trace,42,rand,0.0583
0,swim.trace,42,clock,0.0365
0,swim.trace,42,lru,0.0344
0,swim.trace,40,rand,0.0621
0,swim.trace,40,clock,0.0388
0,swim.trace,40,lru,0.0365
0,swim.trace,38,rand,0.0671
0,swim.trace,38,clock,0.0416
0,swim.trace,38,lru,0.0389
0,swim.trace,36,rand,0.0715
0,swim.trace,36,clock,0.0448
0,swim.trace,36,lru,0.0416
0,swim.trace,34,rand,0.0772
0,swim.trace,34,clock,0.0485
0,swim.trace,34,lru,0.0447
0,swim.trace,32,rand,0.0835
0,swim.trace,32,clock,0.053
0,swim.trace,32,lru,0.0483
0,swim.trace,30,rand,0.091
0,swim.trace,30,clock,0.0588
0,swim.trace,30,lru,0.0526
0,swim.trace,28,rand,0.1001
0,swim.trace,28,clock,0.0661
0,swim.trace,28,lru,0.0584
0,swim.trace,26,rand,0.11
0,swim.trace,26,clock,0.076
0,swim.trace,26,lru,0.0662
0,swim.trace,24,rand,0.1221
0,swim.trace,24,clock,0.0893
0,swim.trace,24,lru,0.0759
0,swim.trace,22,rand,0.1365
0,swim.trace,22,clock,0.1062
0,swim.trace,22,lru,0.0904
0,swim.trace,20,rand,0.1526
0,swim.trace,20,clock,0.1276
0,swim.trace,20,lru,0.1159
0,swim.trace,18,rand,0.1727
0,swim.trace,18,clock,0.1579
0,swim.trace,18,lru,0.1474
0,swim.trace,16,rand,0.1949
0,swim.trace,16,clock,0.1918
0,swim.trace,16,lru,0.172
0,swim.trace,14,rand,0.2213
0,swim.trace,14,clock,0.2156
0,swim.trace,14,lru,0.1959
0,swim.trace,12,rand,0.2502
0,swim.trace,12,clock,0.2364
0,swim.trace,12,lru,0.2258
0,swim.trace,10,rand,0.2836
0,swim.trace,10,clock,0.2648
0,swim.trace,10,lru,0.2577
0,swim.trace,8,rand,0.3212
0,swim.trace,8,clock,0.2935
0,swim.trace,8,lru,0.2854
0,swim.trace,6,rand,0.3664
0,swim.trace,6,clock,0.3229
0,swim.trace,6,lru,0.311
0,swim.trace,4,rand,0.4284
0,swim.trace,4,clock,0.3807
0,swim.trace,4,lru,0.3469
0,swim.trace,2,rand,0.5577
0,swim.trace,2,clock,0.5415
0,swim.trace,2,lru,0.4707
0,sixpack.trace,58,rand,0.0562
0,sixpack.trace,58,clock,0.0488
0,sixpack.trace,58,lru,0.0479
0,sixpack.trace,56,rand,0.0579
0,sixpack.trace,56,clock,0.0509
0,sixpack.trace,56,lru,0.0494
0,sixpack.trace,54,rand,0.0595
0,sixpack.trace,54,clock,0.0525
0,sixpack.trace,54,lru,0.0506
0,sixpack.trace,52,rand,0.0615
0,sixpack.trace,52,clock,0.0539
